# WWM Custom Teleports
# 2026-03-12 13:00:00
# NAME,X,Y,Z,ZONE,CATEGORY

匕见将军1,-3068.6,-48.1415,-1985.18,Unknown,1
百目莲1,-2754.8,-22.2377,-2255.39,Unknown,1
百目莲2,-2860.11,-5.72673,-2360.41,Unknown,1
百目莲3,-2995.45,-23.232,-2254.28,Unknown,1
百目莲4,-3172.17,-43.3812,-1840.31,Unknown,1
百目莲5,-2503.18,-44.0942,-1833.97,Unknown,1
百目莲6,-2755.07,20.4952,-1432.35,Unknown,1
百目莲7,-2953.69,-47.5662,-1541.74,Unknown,1
百目莲8,-3093.42,-41.829,-646.733,Unknown,1
百目莲9,-3038.74,-33.497,-826.354,Unknown,1
百目莲10,-2923.15,20.2091,-646.734,Unknown,1
百目莲11,-2619.98,-23.7797,-125.477,Unknown,1
百目莲12,-2593.9,-10.6611,-437.084,Unknown,1
百目莲13,-2504.24,-10.759,-614.863,Unknown,1
百目莲14,-2203.43,-13.8116,-645.752,Unknown,1
百目莲15,-2652.25,133.433,-1089.67,Unknown,1
百目莲16,-2050.44,-16.6917,-1057.58,Unknown,1
百目莲17,-3284.89,23.2541,-2485.9,Unknown,1
百目莲18,-3181.26,-42.1458,-2351.34,Unknown,1
百目莲19,-3437.5,-3.04147,-2294.61,Unknown,1
百目莲20,-3401.51,-43.6842,-1941.34,Unknown,1
百目莲21,-3525.05,-53.6121,-1937.45,Unknown,1
百目莲22,-3557.58,-61.3713,-2103.79,Unknown,1
百目莲23,-3581.3,120.281,-1128.59,Unknown,1
百目莲24,-3686.1,54.8361,-1204.05,Unknown,1
百目莲25,-3956.63,-48.5611,-1356.24,Unknown,1
百目莲26,-3544.31,-53.7189,-703.575,Unknown,1
百目莲27,-3362.41,-35.7652,-879.941,Unknown,1
百目莲28,-3478.92,-29.3106,-861.477,Unknown,1
蘑菇1,-2676.79,-14.0024,-2409.09,Unknown,1
蘑菇2,-3039.25,-11.0409,-2311.98,Unknown,1
蘑菇3,-2887.31,-39.9711,-2104.98,Unknown,1
蘑菇4,-2497.26,47.6744,-1498.17,Unknown,1
蘑菇5,-2837.6,-7.38863,-1203.88,Unknown,1
蘑菇6,-3100.73,-47.2354,-1193.74,Unknown,1
蘑菇7,-3225.78,-130.927,-727.727,Unknown,1
蘑菇8,-3026.38,-36.7774,-728.63,Unknown,1
蘑菇9,-2901.33,2.65967,-888.089,Unknown,1
蘑菇10,-2987.75,16.3773,-585.267,Unknown,1
